HOST,PARASITOID,HEATWAVE,F,W
Simulans,NoWasp,NO,40,0
Simulans,Ganaspis,NO,2,40
Simulans,Asobara,NO,12,0
Simulans,Asobara,NO,4,18
Simulans,Leptopilina,NO,4,32
Simulans,Ganaspis,NO,3,33
Simulans,Leptopilina,NO,5,24
Simulans,NoWasp,NO,43,0
Simulans,Asobara,NO,1,22
Simulans,Ganaspis,NO,2,40
Simulans,NoWasp,NO,40,0
Simulans,Asobara,NO,0,20
Simulans,Leptopilina,NO,4,16
Simulans,Ganaspis,NO,0,34
Simulans,Leptopilina,NO,5,26
Simulans,NoWasp,NO,43,0
Simulans,Asobara,NO,3,24
Simulans,NoWasp,NO,40,0
Simulans,Asobara,NO,4,24
Simulans,Leptopilina,NO,1,34
Simulans,Leptopilina,NO,7,20
Simulans,Ganaspis,NO,1,41
Simulans,Ganaspis,NO,0,39
Birchii,NoWasp,NO,39,0
Birchii,NoWasp,NO,34,0
Birchii,Asobara,NO,1,16
Birchii,Asobara,NO,3,31
Birchii,Ganaspis,NO,2,40
Birchii,Ganaspis,NO,2,25
Birchii,Leptopilina,NO,10,17
Birchii,Leptopilina,NO,6,28
Birchii,NoWasp,NO,39,0
Birchii,NoWasp,NO,37,0
Birchii,Asobara,NO,5,38
Birchii,Asobara,NO,2,28
Birchii,Ganaspis,NO,5,29
Birchii,Ganaspis,NO,0,21
Birchii,Leptopilina,NO,15,19
Birchii,Leptopilina,NO,4,18
Birchii,NoWasp,NO,42,0
Birchii,NoWasp,NO,34,0
Birchii,Asobara,NO,2,32
Birchii,Asobara,NO,1,37
Birchii,Ganaspis,NO,0,29
Birchii,Ganaspis,NO,0,27
Birchii,Leptopilina,NO,4,17
Birchii,Leptopilina,NO,9,23
Bipectinata,NoWasp,NO,40,0
Bipectinata,NoWasp,NO,50,0
Bipectinata,Ganaspis,NO,37,0
Bipectinata,Asobara,NO,35,0
Bipectinata,Asobara,NO,12,0
Bipectinata,Leptopilina,NO,36,0
Bipectinata,Ganaspis,NO,37,0
Bipectinata,Leptopilina,NO,39,0
Bipectinata,NoWasp,NO,38,0
Bipectinata,Asobara,NO,30,0
Bipectinata,Ganaspis,NO,33,0
Bipectinata,NoWasp,NO,36,0
Bipectinata,Asobara,NO,21,0
Bipectinata,Leptopilina,NO,41,0
Bipectinata,Ganaspis,NO,39,0
Bipectinata,Leptopilina,NO,35,0
Bipectinata,NoWasp,NO,45,0
Bipectinata,Asobara,NO,33,0
Bipectinata,NoWasp,NO,43,0
Bipectinata,Asobara,NO,22,0
Bipectinata,Leptopilina,NO,47,0
Bipectinata,Leptopilina,NO,39,0
Bipectinata,Ganaspis,NO,37,1
Bipectinata,Ganaspis,NO,41,1
